,Name,Place,Rating Point,Rating Category,Number of Reviews,Distance from Centre,Travel Sustainability,Description
431,Spacious 2-Bed Unit in Heart of South Brisbane,"South Brisbane, Brisbane",Nan,Nan,Nan,0.7 km from centre,Not Travel Sustainable,"Set in Brisbane, 400 metres from Queensland Performing Arts Complex (QPAC) and 400 metres from South Brisbane Station, Spacious 2-Bed Unit in Heart of South Brisbane offers air-conditioned..."
432,City/Valley Resort Apartment,"Fortitude Valley, Brisbane",Nan,Nan,Nan,1.5 km from centre,Not Travel Sustainable,"Boasting garden views, City/Valley Resort Apartment features accommodation with an outdoor swimming pool and a balcony, around 1.1 km from Brisbane Central Station. "
433,Eight Mile Plains House,"Eight Mile Plains, Brisbane",10,Exceptional ,2 reviews,13.5 km from centre,Not Travel Sustainable,"Within 13 km of Boggo Road Gaol and 15 km of Southbank Station, Eight Mile Plains House features free WiFi and an outdoor swimming pool. "
434,Amazing views 60th level skytower 3 bedrooms,"Brisbane CBD, Brisbane",8.0,Very good ,5 reviews,0.7 km from centre,Not Travel Sustainable,Amazing views 60th level skytower 3 bedrooms is situated conveniently in the centre of Brisbane and features a bar. 
435,Oasis Home at kangaroo point,"Kangaroo Point, Brisbane",7.6,Good ,7 reviews,1.8 km from centre,Not Travel Sustainable,"Set in Brisbane, 1.8 km from Story Bridge, 1.8 km from Southbank Station and 2.8 km from South Bank Parklands, Oasis Home at kangaroo point offers accommodation with a balcony and free WiFi. "
436,Heart of City with Pool and Spectacular River Views,"Brisbane CBD, Brisbane",Nan,Nan,Nan,0.8 km from centre,Travel Sustainable,"Located in Brisbane, Heart of City with Pool and Spectacular River Views offers a balcony with river and garden views, as well as a year-round outdoor pool, fitness centre and sauna. "
437,Boutique Home with Garage,"Kangaroo Point, Brisbane",Nan,Nan,Nan,1.8 km from centre,Not Travel Sustainable,"Boutique Home with Garage, a property with a garden, is located in Brisbane, 1.8 km from Story Bridge, 1.8 km from Southbank Station, as well as 2.9 km from South Bank Parklands. "
438,New! Great Value - Skytower center of CBD,"Brisbane CBD, Brisbane",7.0,Good ,1 review,0.7 km from centre,Not Travel Sustainable,"Situated right in the centre of Brisbane, New! Great Value - Skytower center of CBD features a private pool and free WiFi. "
439,Kelvin Grove Apartments,Brisbane,8.5,Very good ,6 reviews,1.9 km from centre,Not Travel Sustainable,"Located in Brisbane in the Queensland region, with Roma Street Parklands and Suncorp Stadium nearby, Kelvin Grove Apartments provides accommodation with free WiFi and free private parking. "
440,Lovely 2- Bedroom Rental Unit with Free Parking,"Bowen Hills, Brisbane",7.5,Good ,6 reviews,2.4 km from centre,Not Travel Sustainable,"Set in Brisbane, 500 metres from Brisbane Showgrounds and 1.8 km from New Farm Riverwalk, Lovely 2- Bedroom Rental Unit with Free Parking provides accommodation with amenities such as free WiFi and a..."
441,City Studio Near Popular Attractions,"South Brisbane, Brisbane",6.2,Review score ,5 reviews,1.2 km from centre,Not Travel Sustainable,"Located in Brisbane, within 1 km of Brisbane Convention & Exhibition Centre and 1.1 km of Queensland Performing Arts Complex (QPAC), City Studio Near Popular Attractions offers accommodation with free..."
442,Luxury 2 Bedroom 2 Bathroom in the heart of South Brisbane,"South Brisbane, Brisbane",9.5,Exceptional ,4 reviews,0.9 km from centre,Not Travel Sustainable,"Situated in Brisbane, 400 metres from Brisbane Convention & Exhibition Centre, 500 metres from Queensland Performing Arts Complex (QPAC) and 500 metres from South Brisbane Station, Luxury 2 Bedroom 2..."
443,City/Valley Resort Apartment,"Fortitude Valley, Brisbane",Nan,Nan,Nan,1.5 km from centre,Not Travel Sustainable,"Boasting garden views, City/Valley Resort Apartment features accommodation with an outdoor swimming pool and a balcony, around 1.1 km from Brisbane Central Station. "
444,1404 Sophistication and Luxury on the Brisbane River by Stylish Stays,"Brisbane CBD, Brisbane",9.9,Exceptional ,7 reviews,150 m from centre,Not Travel Sustainable,"Located in a central area of Brisbane, 1404 Sophistication and Luxury on the Brisbane River by Stylish Stays provides a private pool and free WiFi. "
445,Huge & Luxurious Penthouse w/ City Views & Carpark,"South Brisbane, Brisbane",7.3,Good ,3 reviews,1.4 km from centre,Not Travel Sustainable,"Offering garden views, Huge & Luxurious Penthouse w/ City Views & Carpark is an accommodation set in Brisbane, 700 metres from Southbank Station and 700 metres from Brisbane Convention & Exhibition..."
446,Modern Central 2 Bed Carpark Wifi Netflix Pool Gym,"Spring Hill, Brisbane",8.5,Very good ,6 reviews,1 km from centre,Not Travel Sustainable,"Set about less than 1 km from Brisbane Central Station, Modern Central 2 Bed Carpark Wifi Netflix Pool Gym offers accommodation with an outdoor pool and free WiFi. "
447,Comfy one bedroom apartment in central South Brisbane,"South Brisbane, Brisbane",7.6,Good ,9 reviews,1.4 km from centre,Not Travel Sustainable,"Set in Brisbane, 200 metres from Southbank Station and 500 metres from South Bank Parklands, Comfy one bedroom apartment in central South Brisbane offers accommodation with free WiFi, air..."
448,Cozy 1BR Suite in the Heart of Brisbane,"South Brisbane, Brisbane",8.3,Very good ,3 reviews,1.3 km from centre,Not Travel Sustainable,"Cozy 1BR Suite in the Heart of Brisbane in Brisbane offers accommodation with free WiFi, 500 metres from Brisbane Convention & Exhibition Centre, less than 1 km from South Brisbane Station and a..."
449,Heart of the City Apartment With Pool & Gym Access,"Fortitude Valley, Brisbane",9.5,Exceptional ,2 reviews,2.4 km from centre,Not Travel Sustainable,"In the Fortitude Valley district of Brisbane, close to Brisbane Showgrounds, Heart of the City Apartment With Pool & Gym Access has a fitness centre, free WiFi and a washing machine. "
450,Lovely 2 Bedroom Executive Apartment,"Kangaroo Point, Brisbane",8.9,Fabulous ,12 reviews,1.7 km from centre,Not Travel Sustainable,"Set within the Kangaroo Point district in Brisbane, Lovely 2 Bedroom Executive Apartment has air conditioning, a balcony, and river views. This property offers a private pool and free private parking...."
451,Light apartment in amazing central location,"South Brisbane, Brisbane",9.3,Superb ,3 reviews,1 km from centre,Not Travel Sustainable,"Boasting city views, Light apartment in amazing central location features accommodation with an outdoor swimming pool and a balcony, around 800 metres from Brisbane Convention & Exhibition Centre. "
452,Lvl 24 Family apartment in the heart of CBD by Stylish Stays,"Brisbane CBD, Brisbane",9.4,Superb ,5 reviews,0.7 km from centre,Not Travel Sustainable,"In a prime location in the centre of Brisbane, Lvl 24 Family apartment in the heart of CBD by Stylish Stays is within a short distance of Brisbane Central Station and Queen Street Mall. "
453,Amazing 2 Bedroom in CBD!,"Brisbane CBD, Brisbane",9.3,Superb ,6 reviews,0.7 km from centre,Not Travel Sustainable,"Situated right in the centre of Brisbane, Amazing 2 Bedroom in CBD! features a private pool and free WiFi. This apartment is 1.5 km from Roma Street Station and 1.9 km from Southbank Station. "
454,Unbeatable 1-Bed In Brisbane City Centre,"Brisbane CBD, Brisbane",9.0,Superb ,1 review,0.7 km from centre,Not Travel Sustainable,Unbeatable 1-Bed In Brisbane City Centre is ideally located in the centre of Brisbane and has a fitness centre. Guests benefit from a patio and an outdoor pool. 
455,"Spacious Hideaway Retreat, Brookfield, Brisbane",Brisbane,Nan,Nan,Nan,10.6 km from centre,Not Travel Sustainable,"Brookfield Retreat offers accommodation in Brisbane, 17 km from Brisbane CBD. The home boasts a billiard table, bar, cinema and a large indoor spa. The luxurious modern kitchen is fully equipped. "
456,Chic Inner City Position 2 bedroom apartment with Parking By Serain Residences,"Newstead, Brisbane",6.6,Review score ,9 reviews,2.9 km from centre,Not Travel Sustainable,"In the Newstead district of Brisbane, close to New Farm Riverwalk, Chic Inner City Position 2 bedroom apartment with Parking By Serain Residences has free WiFi and a washing machine. "
457,Fairfield Palace,Brisbane,9.7,Exceptional ,4 reviews,4 km from centre,Travel Sustainable,"Fairfield Palace, a property with an outdoor swimming pool and a terrace, is set in Brisbane, 1.4 km from Boggo Road Gaol, 3.6 km from Southbank Station, as well as 3.9 km from South Bank Parklands. "
458,Two-Bedroom Sanctuary Close to Brisbane CBD,Brisbane,9.7,Exceptional ,3 reviews,3.7 km from centre,Not Travel Sustainable,"Located in Brisbane, 3 km from Suncorp Stadium and 4.8 km from Roma Street Station, Two-Bedroom Sanctuary Close to Brisbane CBD offers free WiFi and air conditioning. "
459,PLUMERIA PLACE / WYNNUM,Brisbane,9.5,Exceptional ,4 reviews,15.5 km from centre,Travel Sustainable,"Set in Brisbane, 17 km from The Gabba - Brisbane Cricket Ground and 18 km from Story Bridge, PLUMERIA PLACE / WYNNUM offers free WiFi, an outdoor swimming pool and air conditioning. "
460,Sleek 2-bed Apartment with Balcony Views,"New Farm, Brisbane",Nan,Superb 9.0,7 external reviews,2 km from centre,Not Travel Sustainable,"Set in Brisbane, 500 metres from New Farm Riverwalk, 1.6 km from New Farm Park and 1.8 km from Brisbane Central Station, Sleek 2-bed Apartment with Balcony Views offers accommodation with a patio and..."
461,Gabwina Oasis,Brisbane,Nan,Nan,Nan,9.2 km from centre,Travel Sustainable,"Gabwina Oasis, a property with an outdoor swimming pool and a terrace, is located in Brisbane, 11 km from University of Queensland - St Lucia, 11 km from Suncorp Stadium, as well as 13 km from..."
462,Contemporary Cottage in Perfect Lifestyle Address,"Paddington, Brisbane",8.3,Very good ,3 reviews,2.6 km from centre,Not Travel Sustainable,"In the Paddington district of Brisbane, close to Suncorp Stadium, Contemporary Cottage in Perfect Lifestyle Address has a garden, free WiFi and a washing machine. "
463,"Rooftop Pool, BBQ and Gym at Chic Valley Apartment","Fortitude Valley, Brisbane",8.4,Very good ,5 reviews,1.9 km from centre,Not Travel Sustainable,"Situated in Brisbane, 600 metres from Brisbane Showgrounds and 1.3 km from New Farm Riverwalk, Rooftop Pool, BBQ and Gym at Chic Valley Apartment features accommodation with free WiFi, air..."
464,Chermside deluxe 3 bedroom brand new apartment,"Chermside, Brisbane",Nan,Nan,Nan,9.2 km from centre,Not Travel Sustainable,"Within 10 km of Brisbane Entertainment Centre and 10 km of Roma Street Parklands, Chermside deluxe 3 bedroom brand new apartment provides free WiFi and a terrace. "
465,INNER CITY ESCAPE / BOWEN HILL,"Bowen Hills, Brisbane",Nan,Nan,Nan,2.4 km from centre,Travel Sustainable,"Situated in Brisbane, 600 metres from Brisbane Showgrounds and 1.8 km from New Farm Riverwalk, INNER CITY ESCAPE / BOWEN HILL features accommodation with free WiFi, air conditioning, an outdoor..."
466,Sky City View Appartment,"Brisbane CBD, Brisbane",Nan,Nan,Nan,0.7 km from centre,Not Travel Sustainable,"Set in Brisbane, less than 1 km from Brisbane Central Station and a 7-minute walk from Queen Street Mall, Sky City View Appartment offers air-conditioned accommodation with a balcony and free WiFi. "
467,Sunset views luxury 2 Bed 2 Bath Pool Gym Desk,"South Brisbane, Brisbane",8.0,Very good ,1 review,1.4 km from centre,Not Travel Sustainable,"Located in Brisbane, 200 metres from Southbank Station and 500 metres from South Bank Parklands, Sunset views luxury 2 Bed 2 Bath Pool Gym Desk provides accommodation with free WiFi, air conditioning..."
468,Amazing views 60th level skytower 3 bedrooms,"Brisbane CBD, Brisbane",8.0,Very good ,5 reviews,0.7 km from centre,Not Travel Sustainable,Amazing views 60th level skytower 3 bedrooms is situated conveniently in the centre of Brisbane and features a bar. 
469,Comfort Two bedroom Apartment with Free parking In Valley,"Fortitude Valley, Brisbane",6.8,Review score ,5 reviews,1.9 km from centre,Not Travel Sustainable,"Comfort Two bedroom Apartment with Free parking In Valley features a balcony and is located in Brisbane, within just 1.1 km of Brisbane Showgrounds and 1.5 km of Brisbane Central Station. "
470,Resort style facilities in the heart of the city,"Brisbane CBD, Brisbane",1.0,Review score ,1 review,0.7 km from centre,Not Travel Sustainable,Resort style facilities in the heart of the city is ideally located in the centre of Brisbane and has a fitness centre. 
471,THE PALMER Boutique Living Hosted by L'abode,"Windsor, Brisbane",10,Exceptional ,1 review,3.5 km from centre,Travel Sustainable,"Located in Brisbane, 2.1 km from Brisbane Showgrounds, 3.4 km from New Farm Riverwalk and 3.5 km from Roma Street Parklands, THE PALMER Boutique Living Hosted by L'abode provides accommodation with a..."
472,Oasis Home at kangaroo point,"Kangaroo Point, Brisbane",7.6,Good ,7 reviews,1.8 km from centre,Not Travel Sustainable,"Set in Brisbane, 1.8 km from Story Bridge, 1.8 km from Southbank Station and 2.8 km from South Bank Parklands, Oasis Home at kangaroo point offers accommodation with a balcony and free WiFi. "
473,KOZYGURU BRISBANE CBD 1 BED APT AMAZING VIEW QBN550-1601,"Brisbane CBD, Brisbane",8.2,Very good ,4 reviews,1.1 km from centre,Not Travel Sustainable,"Set in the centre of Brisbane, 700 metres from Brisbane Central Station and 1.2 km from Queen Street Mall, KOZYGURU BRISBANE CBD 1 BED APT AMAZING VIEW QBN550-1601 offers air conditioning. "
474,Inner City apartment living in quiet location,Brisbane,9.0,Superb ,3 reviews,3.1 km from centre,Not Travel Sustainable,"Located in Brisbane, less than 1 km from University of Queensland - St Lucia and 5.2 km from Suncorp Stadium, Inner City apartment living in quiet location provides accommodation with amenities such..."
475,"Luxury Apartment w/ Infinity Pool, Carpark & Gym","Fortitude Valley, Brisbane",5.4,Review score ,5 reviews,1.7 km from centre,Not Travel Sustainable,"Located in Brisbane, within less than 1 km of Brisbane Showgrounds and a 11-minute walk of New Farm Riverwalk, Luxury Apartment w/ Infinity Pool, Carpark & Gym offers accommodation with free WiFi, air..."
476,Stunning 1BR Unit in the heart of Kelvin Grove with Pool and WIFI,Brisbane,7.7,Good ,8 reviews,1.9 km from centre,Not Travel Sustainable,"Within 1.5 km of Roma Street Parklands and 1.9 km of Suncorp Stadium, Stunning 1BR Unit in the heart of Kelvin Grove with Pool and WIFI offers free WiFi and a fitness centre. "
